userHours,eocHourly,locTotalNoContract,locTotal,increaseOverCurrent,numCOLAs,numSteps
121,22,311738,351293.81,39555.82,2,2
122,22,314633.4,354556.61,39923.21,2,2
123,22,317528.8,357819.4,40290.6,2,2
124,22,320424.2,361082.19,40657.99,2,2
125,22,323319.6,364344.98,41025.38,2,2
126,22,326215,367607.77,41392.77,2,2
127,22,329110.4,370870.56,41760.16,2,2
128,22,332005.8,374133.35,42127.56,2,2
129,22,334901.19,377396.14,42494.95,2,2
130,22,337796.59,380658.93,42862.34,2,2
131,22,340691.99,383921.72,43229.73,2,2
132,22,343587.39,387184.51,43597.12,2,2
133,22,346482.79,390447.31,43964.51,2,2
134,22,349378.19,393710.1,44331.9,2,2
135,22,352273.59,396972.89,44699.3,2,2
136,22,355168.99,400235.68,45066.69,2,2
137,22,358064.39,403498.47,45434.08,2,2
138,22,360959.79,406761.26,45801.47,2,2
139,22,363855.19,410024.05,46168.86,2,2
140,22,366750.59,413286.84,46536.25,2,2
